text,label
"You always say you're busy but I know you just don't want to spend time with me.",manipulation
"I can't believe you'd rather go out with them than stay home with me.",manipulation
"If you actually loved me you'd know what's wrong without me having to say it.",manipulation
"I'm the one who introduced you to all your friends and you just forget that.",manipulation
"You're lucky I'm even giving you another chance most people wouldn't.",manipulation
"I only yelled because you weren't listening to me calmly.",manipulation
"Everyone thinks we're perfect together so why are you trying to ruin it.",manipulation
"I moved across the country for this and you're throwing it all away.",manipulation
"If you cared about your future you'd listen to what I'm telling you.",manipulation
"I can't believe you'd side with a stranger over someone who actually knows you.",manipulation
"You always run away from problems instead of facing them like I do.",manipulation
"I told you this would happen but you never take my advice seriously.",manipulation
"Maybe if you spent less time on your phone you'd actually hear what I'm saying.",manipulation
"I was the first person to believe in your business idea remember that.",manipulation
"You think you can do better than me go ahead and try.",manipulation
"If you leave this relationship you'll never find someone who loves you like I do.",manipulation
"I only went through your messages because you've been acting differently lately.",manipulation
"You say you need space but that's just code for wanting to be with someone else.",manipulation
"I can't believe you'd throw away five years over something this small.",manipulation
"My ex never made me feel this way you're the only one who does this to me.",manipulation
"You always take their side you clearly don't respect our relationship.",manipulation
"I was fine before I met you and now look at me you've changed me.",manipulation
"I don't think you understand how much pain you cause me every single day.",manipulation
"You're the reason I can't sleep at night and you don't even care.",manipulation
"If you tell anyone about our argument I'll know I can never trust you.",manipulation
"I thought you were my best friend but best friends don't act like this.",manipulation
"Everyone at the party noticed how you ignored me the whole night.",manipulation
"You're the smartest person I know which is why it hurts that you're being so stupid about this.",manipulation
"I've been nothing but supportive and you treat me like I don't exist.",manipulation
"If you were really my friend you'd lend me the money without asking questions.",manipulation
"I cancelled all my plans for you and you couldn't even show up on time.",manipulation
"You used to be fun I don't know what happened to you.",manipulation
"I know what's best for you even if you can't see it right now.",manipulation
"You always make everything so complicated when it could be simple if you just listened.",manipulation
"I'm trying to protect you from making a huge mistake and you're pushing me away.",manipulation
"The fact that you have to think about whether to help me is really hurtful.",manipulation
"I've done more for this family than anyone and no one appreciates it.",manipulation
"If you don't come home right now we're going to have a serious problem.",manipulation
"You always find time for your hobbies but never for me.",manipulation
"I can see right through you and I know you're lying to me.",manipulation
"If our friendship meant anything to you you'd drop everything and be here.",manipulation
"You promised you'd change and here we are right back where we started.",manipulation
"I tell everyone how great you are and you can't even defend me once.",manipulation
"I don't ask for much all I want is your undivided attention.",manipulation
"The kids would be devastated if you left so think about that.",manipulation
"You're being incredibly selfish and you don't even realize it.",manipulation
"I've been through so much trauma and you're adding to it.",manipulation
"You know I have trust issues and you keep doing things that trigger them.",manipulation
"I would drop everything for you in a heartbeat and you can't even text me back.",manipulation
"If you really valued this team you would put in the extra hours like I do.",manipulation
"I'm not asking you to choose I'm just saying I'd be really hurt if you went.",manipulation
"You always bring up my past mistakes but never acknowledge my growth.",manipulation
"I've forgiven you so many times and this is the one thing I ask in return.",manipulation
"You don't know how lucky you are that someone like me puts up with you.",manipulation
"I only criticize you because I see your potential and you're wasting it.",manipulation
"Your parents would be so disappointed if they knew how you were treating me.",manipulation
"I literally have panic attacks because of the way you talk to me.",manipulation
"You keep making me out to be the bad guy when all I do is try.",manipulation
"Everyone thinks you're so nice but they don't see how you treat me behind closed doors.",manipulation
"I've invested too much in this to let you just walk away.",manipulation
"If you can't handle me at my worst you don't deserve me at my best.",manipulation
"I didn't eat all day because I was so upset about what you said.",manipulation
"You're going to look back on this moment and realize how wrong you were.",manipulation
"I can't function when we're not okay so can you please just agree with me.",manipulation
"I know you're going to say no but I really need this from you.",manipulation
"You always choose the easy way out instead of fighting for us.",manipulation
"I'm the only person who will ever be this honest with you.",manipulation
"You have no idea what I've given up to make this work.",manipulation
"I'm done being the only one who cares about keeping us together.",manipulation
"You say you love me but your actions never match your words.",manipulation
"I don't recognize you anymore the person I fell in love with is gone.",manipulation
"If something happens to me tonight it's because of this conversation.",manipulation
"The least you can do is stay on the phone with me until I feel better.",manipulation
"I guess some people just aren't capable of real loyalty.",manipulation
"You always make me feel crazy for having normal feelings.",manipulation
"I can't believe you would prioritize work over your own mother.",manipulation
"I didn't sign up for this version of you.",manipulation
"You keep hurting me in the same way and expecting me to just get over it.",manipulation
"If I treated you the way you treat me you'd be devastated.",manipulation
"I need you to promise me you'll never leave no matter what.",manipulation
"Everyone warned me about you but I defended you and look where that got me.",manipulation
"You just don't understand because you've never been through what I've been through.",manipulation
"I was there when you had nothing and now you act like you don't need me.",manipulation
"If you break this promise I will never speak to you again.",manipulation
"You're not the person I thought you were and that breaks my heart.",manipulation
"I can't even look at you right now because of how disappointed I am.",manipulation
"The whole family is going to blame you if this falls apart.",manipulation
"I thought you were mature enough to handle this but clearly I was wrong.",manipulation
"Do you even care that I've been crying all day because of you.",manipulation
"You always abandon people when things get tough that's just who you are.",manipulation
"I literally changed my entire personality to make you happy and it's still not enough.",manipulation
"Fine leave like everyone else does I'm used to it by now.",manipulation
"You make me feel like I'm walking on eggshells all the time.",manipulation
"I swear if you bring this up again I don't know what I'll do.",manipulation
"The only reason we're friends is because I've been carrying this whole time.",manipulation
"You don't see it now but one day you'll realize everything I did was for you.",manipulation
"I hope you feel good about yourself because you just ruined my entire week.",manipulation
"I can't believe I have to explain basic decency to a grown adult.",manipulation
"You always take me for granted and then act surprised when I'm upset.",manipulation
"I gave up my dreams so you could chase yours and you never even said thank you.",manipulation
"If you were half the person you pretend to be we wouldn't be in this mess.",manipulation
"I'm literally begging you to just listen to me for once in your life.",manipulation
"You have no right to be mad at me after what you put me through.",manipulation
"Everyone else sees how amazing I am why can't you.",manipulation
"I only keep bringing it up because you never actually fixed it.",manipulation
"I don't deserve to be treated this way by someone who claims to love me.",manipulation
"If you really support me you'll quit that job so we can spend more time together.",manipulation
"You always make excuses instead of taking accountability like a real adult.",manipulation
"I just think it's sad that you can't even do this one thing for the person who loves you most.",manipulation
"If you go on that trip without me I'm going to be a mess the whole time.",manipulation
"I don't know why I even bother trying to communicate with you.",manipulation
"You know exactly what to say to make me feel worthless and you do it on purpose.",manipulation
"I'm not controlling I just have high standards because I believe in us.",manipulation
"After all the chances I've given you I don't think asking for one favor is unreasonable.",manipulation
"You clearly think your feelings are more important than mine and that says a lot.",manipulation
"I forgave you for the worst thing anyone has ever done to me so you owe me this.",manipulation
"You were supposed to be different from everyone else who hurt me.",manipulation
"The way you looked at that person tonight really made me question everything.",manipulation
"You always shut down when I try to have a real conversation how is that fair.",manipulation
"I've been loyal to you through everything and you can't even be honest with me.",manipulation
"I just want what's best for you even if you can't see that right now.",manipulation
"If this project fails it's going to be on you because you refused to listen.",manipulation
"I'm starting to think you're doing this to hurt me on purpose.",manipulation
"Every time things are going well you find a way to mess it up.",manipulation
"I only check your location because I worry about your safety not because I don't trust you.",manipulation
"If you spent as much effort on us as you do on your appearance we'd be fine.",manipulation
"I just think real friends don't need boundaries between them.",manipulation
"The amount of emotional labor I put into this relationship is insane and you don't even notice.",manipulation
"If you're going to keep bringing other people into our problems then we have nothing to talk about.",manipulation
"My love for you is the only thing keeping me going right now don't take that away.",manipulation
"I shouldn't have to compete for your attention I should be your priority.",manipulation
"You have this incredible ability to make everyone around you feel small.",manipulation
"I've literally never met anyone as inconsiderate as you and I mean that.",manipulation
"I'm only hard on you because mediocrity isn't good enough for someone with your potential.",manipulation
"You're acting just like your father and you know how you feel about that.",manipulation
"I think we both know that without me you'd go right back to your old habits.",manipulation
"I've apologized a thousand times what more do you want from me blood.",manipulation
"The fact that you'd even consider leaving tells me you never really cared.",manipulation
"I was planning something special for us but your attitude ruined the whole thing.",manipulation
"You always compare me to other people and it makes me feel like I'm not good enough.",manipulation
"I've never had to work this hard to keep someone in my life and I'm exhausted.",manipulation
"If you can't commit to this then maybe you're not ready for any real relationship.",manipulation
"I just need you to trust me on this without asking so many questions.",manipulation
"You have no idea how many people would love to be in your position right now.",manipulation
"I was going to let it go but then I realized you'd just do it again.",manipulation
"You're going to push away everyone who loves you if you keep acting like this.",manipulation
"I don't understand why you need other friends when you have me.",manipulation
"Everything I've ever done has been with you in mind and you don't even see it.",manipulation
"If you actually put in the work like I have we wouldn't have these problems.",manipulation
"I was the one holding things together while you were falling apart remember that.",manipulation
"I know I'm not perfect but at least I try which is more than I can say for you.",manipulation
"I don't think you realize how close I am to giving up on this entirely.",manipulation
"You're the only person who makes me feel like I'm not good enough.",manipulation
"I bent every rule for you and you can't even follow through on a simple promise.",manipulation
"You always twist the situation so that I end up apologizing even when you're wrong.",manipulation
"If you talked to anyone else the way you talk to me they would have left already.",manipulation
"I made a list of everything I've done for you this month and it's one sided.",manipulation
"You act like I'm overreacting but my feelings are completely valid and you should validate them.",manipulation
"I can see you pulling away and it's triggering all my abandonment issues.",manipulation
"If I have to explain why that hurt me then you clearly don't know me at all.",manipulation
"I'm done putting in effort for someone who only takes and never gives back.",manipulation
"You promised forever and now you can't even commit to the weekend.",manipulation
"I've defended you to everyone and this is how you repay that loyalty.",manipulation
"You always find a way to blame me for things that are clearly your fault.",manipulation
"I just need you to say you're sorry and mean it for once in your life.",manipulation
"If you actually paid attention you'd know exactly why I'm upset.",manipulation
"I gave you everything I had and you just tossed it aside like it meant nothing.",manipulation
"My happiness depends on you and you treat that responsibility so carelessly.",manipulation
"I would do anything for you and all I'm asking is for the same in return.",manipulation
"I've tried everything to make this work so if it fails that's on you not me.",manipulation
"You say you want honesty but the second I'm honest you shut down completely.",manipulation
"I've never been this vulnerable with anyone and you just used it against me.",manipulation
"I trusted you more than anyone in my entire life and you betrayed that.",manipulation
"If you cared about this family you wouldn't have made that decision without consulting me.",manipulation
"I thought we were a team but apparently I'm the only one playing.",manipulation
"You don't get to walk away from this conversation until we resolve it.",manipulation
"I'm only telling you how I feel and if you can't handle that then maybe you're the problem.",manipulation
"I've sacrificed more than you'll ever know and all I get is grief.",manipulation
"Everyone sees the effort I put in and they all wonder why you don't appreciate it more.",manipulation
"I've held back so many times to keep the peace but now I'm done being quiet.",manipulation
"You should feel grateful that I stay through all of this because most wouldn't.",manipulation
"I keep a mental list of every time you've let me down and it keeps growing.",manipulation
"If you break up with me I'm going to tell everyone what you really did.",manipulation
"Everything you have right now is because I helped you get there don't forget that.",manipulation
"I'm not saying this to hurt you I'm saying it because the truth matters more than your feelings.",manipulation
"I dream about the person you used to be and it makes me sad to see who you've become.",manipulation
"If you can go to their wedding but not my family dinner I'll know exactly what you think of me.",manipulation
"I've earned the right to be upset after everything I've put into this.",manipulation
"I wish you could see yourself the way I see you then you'd understand why I push so hard.",manipulation
"The second I stop trying is the second you'll realize what you had.",manipulation
"I swore I'd never bring this up again but you left me no choice.",manipulation
"You're lucky that I love you enough to still be having this conversation.",manipulation
"I've been patient and understanding and all you give me in return is more reasons to worry.",manipulation
"I thought we had something special but maybe I was just fooling myself.",manipulation
"I'm starting to lose sleep over this and I really need you to step up.",manipulation
"Everyone is going to think it's your fault if we break up and you know it.",manipulation
"If you actually cared you wouldn't have to be reminded to show it.",manipulation
"I'm sacrificing my own mental health to keep this going and you barely even notice.",manipulation
"I'm not manipulating you I'm just being honest about how your actions affect me.",manipulation
"You always disappear when I need you most and then expect me to forgive and forget.",manipulation
"I know things would be better if you just listened to me more often.",manipulation
"I've never asked anyone for help in my life so the fact that I'm asking you should tell you something.",manipulation
"You owe me an explanation at the very least after everything we've been through.",manipulation
"I don't need much just all of your time and attention is that really too much.",manipulation
"I think about everything I've done for you and it makes me feel like a fool.",manipulation
"I'm trying so hard to keep it together and you're making it impossible.",manipulation
"You're the common denominator in all my bad days and I think that means something.",manipulation
"I know you'll regret this decision and when you do I might not be here waiting.",manipulation
